SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag,phot_bp_rp_excess_factor_corr,gm,Mem_Prob
3950102420226399488,182.5258105528612,18.52694900315443,-0.5776673742868244,-1.352685627868136,-1.8417786418698343,0.5175514,0.35214382,0.9973258,0.0,-0.032634538,16,1.1411257,0.80545807,19.453459,-0.0589947999915716,0.541272757568966,0.9030085702553372
3950102420226401152,182.5242801228531,18.528793337454704,0.160003144851082,-1.93055963318026,-1.9044200228752883,0.6754836,0.48683637,0.9634361,0.0,-0.79284394,15,1.0951109,0.71721077,19.797361,-0.0982826255180178,-0.3500523228304958,0.9089282881870444
3950102420226408320,182.52504181889017,18.53182860526669,-0.8809217180388992,-1.856083713299346,-1.5921954593662626,0.66390973,0.46738747,1.0383689,0.58695203,0.88565975,14,1.9781266,0.70586777,19.653616,0.78555689548066,-0.519138575825735,0.903433773699644
3950102420226410624,182.53162976765523,18.52927663220493,-0.414940648460624,-1.7281394050119527,-1.5702305999512514,0.6388499,0.49151546,0.99317485,0.0,-0.121874854,16,1.4028544,0.7646885,19.70589,0.2059110210927368,-0.15641189513001,0.9129643829248776
3950102420226472320,182.52200136620365,18.539147261314287,-0.0082070647604224,-1.7869717440810355,-2.0971890583176704,0.04413147,0.04139937,0.9607229,0.0,-0.9412819,17,1.274392,1.1234255,15.965118,0.0456806495756851,-0.0494615532875487,0.9936753582635504
3950102420226485888,182.5276948935267,18.53791224986787,0.1736360350378072,-1.8746157066013915,-1.7804910779118408,0.23148583,0.23971096,0.990092,0.0,-0.22428486,17,2.1503155,0.7744465,18.803982,0.9526224264331968,-0.3919941548661511,0.9410163933069272
3950102420226561280,182.5345239230336,18.53175147615053,0.0438606515374561,-1.8199407609693927,-1.840750461875276,0.5108812,0.36195767,1.0315286,0.06627275,0.7298171,15,1.2978241,0.7382126,19.395285,0.1028804230184154,-0.2423521133846482,0.9299805650419856
3950102420226563968,182.52093496289524,18.53841394927335,0.9133756985489307,-1.8407635097738595,-1.643723016789414,0.47836402,0.37693027,0.9614627,0.0,-0.88636243,16,1.6361583,0.58712196,19.490963,0.4516345742812981,-0.4340568398810117,0.9172123012262552
3950102420226568320,182.5319839789406,18.535091028627228,0.0366148653254339,-1.6934988338647576,-2.488911585552607,0.48763993,0.3787185,1.0540265,0.9242408,1.1893091,15,1.6480595,0.7931652,19.347359,0.4489093463537907,0.0256492347115914,0.9011696583109836
3950102420226572544,182.53153373170105,18.537413234167225,-0.0015498400114464,-1.7040717671040566,-2.10257496364438,0.07033297,0.06704614,1.0360903,0.5235388,0.9116693,17,2.3291867,0.97404003,16.759212,1.1147183548932131,-0.0118668564353144,0.9965009742213428
3950102420226572800,182.53051363019927,18.537017978781662,-0.7791328399360633,-1.5257014294557822,-1.5010803058504727,0.57669044,0.46193993,1.0304247,0.08075021,0.72335815,16,,,19.719402,,0.4977136413682663,0.9058020659615184
3950102420226577792,182.5326028618641,18.53726137470987,-0.1596773619126289,-1.7931767015728075,-1.7235287768735736,0.6975498,0.54020405,0.986136,1.2368962e-15,-0.29029778,15,,,19.894032,,-0.2637270887944093,0.909976335091223
3950102420226585344,182.53121474073555,18.5401274463638,-0.1303551672513918,-1.6616483807885878,-1.8442691619769007,0.15086143,0.15382873,1.0481508,0.38439524,1.203098,17,1.353301,0.8548775,18.153782,0.1491733157986245,0.0234206239419498,0.9655324318272024
3950102420227605120,182.5273700330292,18.52995518956338,0.0227791576861584,-1.771560676429043,-2.0875832362799183,0.09976045,0.09146748,1.0169826,2.3977948e-15,0.42958826,16,1.2640476,0.98924065,17.35562,0.0481934185645156,-0.0470460659674836,0.9925963085920476
3950102420227605632,182.52245972451624,18.53286832802899,-0.2645200998560766,-1.4803220847936958,-1.871067409820756,0.19360824,0.18860227,1.0480578,0.5426756,1.2325934,17,1.8461078,0.89694023,18.501211,0.6384377698749724,0.2998288205991387,0.9384505778021948
3950102420227606016,182.5205600168876,18.53450322829904,0.0446043389280327,-1.7153297229785156,-2.2391764036928903,0.07798179,0.07035895,1.0430381,0.0,1.0757083,17,1.2062615,0.4908123,16.997627,0.0275503637720675,0.0094918930499893,0.9519110452928148
3950102420227640704,182.5264436410511,18.53716521889308,-0.0031066406684378,-1.7155588745848058,-2.055948613985836,0.06784474,0.06308588,1.0996612,1.7732763,2.4453406,17,1.4662904,0.45758247,16.638193,0.2897187111483505,-0.0256267740004608,0.9968843612846768
3950102420227656960,182.52926572428623,18.539181352792315,-0.0713890386348299,-1.8285889088249527,-2.083208127577186,0.07480802,0.07314016,0.9545782,0.0,-1.092067,17,1.2848558,0.2863369,16.964752,0.1181792770603249,-0.0782652054430873,0.9872495826676808
3950102488947078912,182.4973437612559,18.53002770070778,-0.1973088953629184,-1.864022725605745,-1.9862524731000504,0.06948961,0.06445477,1.0341525,0.12185082,0.86176586,17,1.2081023,0.52765656,16.998222,0.0271992861005936,-0.1843923789015648,0.9151894036191524
3950102519011002240,182.46288816140063,18.52346218199595,0.1076857310302369,-1.938196546692436,-1.4169658724852416,0.41568816,0.31398633,1.0143652,0.26880747,0.3473476,16,1.1236771,0.8901348,19.331736,-0.0834117139556045,-0.9771493643701746,0.999999870085456
3950102587730482816,182.5050446073531,18.53106284329588,1.395688755909098,-1.6008217908190845,-2.329908149183672,0.54364663,0.41493237,1.0505778,1.3147337,1.1943185,16,1.172681,0.73349,19.581453,-0.0219113030430313,-0.0507074074716474,0.9140272889561908
3950102420227699968,182.5310392182624,18.534873082080573,-0.0076764917313013,-1.6369338519181709,-2.044278287066594,0.034610655,0.03291328,1.0412554,0.60667133,1.0454836,17,1.2395698,1.1998167,15.402133,0.0030598253455267,0.0271404982637175,0.9872314268763884
3950102587730507776,182.5116878414096,18.53301051976085,-0.0380940956630851,-1.572631280788047,-2.028842239174531,0.08489619,0.08403726,1.0491208,0.70945406,1.2400709,17,1.1343281,0.048683167,17.137348,-0.0217525260439543,0.0797974183231579,0.9798992816498028
3950102587732824064,182.5072910896493,18.53337886151304,-0.050771649754636,-1.6984784251319065,-2.0761850926042134,0.06817028,0.067660384,1.0468676,0.0,1.1848372,17,1.1902181,0.66640854,16.817055,0.0004401334834764,-0.0124187415895483,0.9967846957815126
3950102587734401152,182.5075734060791,18.53533496146627,-0.0626396591385287,-1.7050784773986312,-2.03053796546843,0.089784645,0.086158365,0.9370165,0.0,-1.5427653,17,1.1499674,0.046308517,17.297413,-0.0060257485766326,-0.0224784608150908,0.9941029305047776
3950102592025089792,182.5093827441901,18.53197838230458,0.2078209485815719,-1.8174582615643893,-2.2752091347140664,0.5936181,0.45701885,1.0002304,0.0,0.034174196,16,1.0894411,0.6441002,19.807602,-0.0988100885366083,0.0585825278194834,0.9138908542097588
