SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag
3950102690809729280,182.5074072995262,18.54909995117101,0.30581400850543905,-2.712150884788772,-1.930479956697059,0.6321099,0.5350094,1.0811261,1.4475464,1.8131101,15,1.1855285,0.58899117,19.706121
3950102690809834368,182.50227330479854,18.553385731473863,-0.13567573611473624,-1.6204937747548895,-2.16504562589477,0.36916664,0.291837,0.96013725,0.0,-0.9074572,16,1.2037823,0.8197403,19.207298
3950102690809863040,182.50882755661328,18.55030646730749,0.31504661418289803,-1.388163820968761,-2.8757333368391116,0.29440397,0.2967436,1.0073135,0.07984248,0.19973491,16,1.1334487,0.88562393,18.978502
3950102690809863296,182.50832181571704,18.55275227375504,-0.362810344032459,-1.5907772175393662,-1.9722524161137922,0.25294554,0.28157517,1.0143696,0.0,0.36124942,15,1.3144546,0.962265,18.821749
3950102695104482944,182.5032629997853,18.549537095892052,-1.211667754345455,-1.984922838673515,-1.9614113953408716,1.1974834,0.9601232,1.0124339,0.0,0.2777161,14,1.1008992,0.5046005,20.625538
3950102695104487040,182.50911182000175,18.54814756776595,1.259461948152946,-1.8471457673084786,-2.654243058851076,0.69444484,0.7012513,1.0816758,1.2415353,1.7635008,15,1.5428188,0.28358078,19.994476
3950102695104500608,182.50476372995564,18.55296841059237,0.03423717895227784,-0.5750517341024504,-2.7836917704266453,0.5939237,0.5643085,1.0388465,0.0,0.8979052,16,1.083867,0.6615772,19.996996
3950102695104503680,182.50888948642088,18.55237711165432,0.3669334666510464,-3.223670477869366,-1.1180793737724357,0.7515573,0.68752784,0.9431311,0.0,-1.1783184,13,0.945854,0.28604507,20.022165
3950102695104505216,182.50808329848795,18.55372216308271,-0.23134400277489442,-1.1184174754836569,-2.7615676584356263,0.68163836,0.69997287,0.99970716,0.0,0.023936417,15,1.1436981,0.7173805,20.083872
3950102695104510848,182.5122991580602,18.553396918866476,0.3526990190894796,-1.8842395139513521,-2.6496984155289773,0.97031534,0.6359893,0.9511198,0.0,-0.92133623,14,,,19.88029
3950102695104510976,182.51186594227258,18.55329437395618,0.1923784933978393,-2.071023695146876,-1.7124712914471694,0.696907,0.55654085,0.97510237,0.0,-0.5161338,15,1.3454374,0.7060566,19.852869
3950102695104514304,182.512664224302,18.553766503089175,0.25264388932018783,-2.6761144026065122,-0.8141056466733568,0.7672992,0.6326809,1.0852653,0.28604206,1.853938,14,,,20.088835
3950102695104515200,182.51444623124533,18.55321414868367,0.5301775110103878,-2.0670649752180985,-2.7684552105080593,0.70059335,0.56450415,1.0157874,0.0,0.38447788,16,1.1289972,0.6693897,20.02751
3950102695104519680,182.5118109197323,18.554640353232188,0.28579005876041186,-1.495683083596793,-2.237389255372796,0.4482823,0.3091257,1.0514996,0.22398926,1.184986,14,1.205242,0.8618431,19.248463
3950102695104534656,182.51128456274247,18.55785381256026,0.2544007003143256,-1.6950071380418474,-2.567079356050753,0.5576295,0.5011788,1.040302,1.0545923,0.97066104,16,1.1967218,0.6268234,19.861904
3950102695104627456,182.51076854415012,18.551344820062532,1.2490936301879072,-1.6174342713830212,-2.7124109972257697,1.1245234,0.8097579,0.9933183,0.0,-0.10044954,14,1.311414,-0.16111565,20.406708
3950102695104627584,182.51039345394855,18.553706295552495,0.1572971887359763,-2.332711461358042,-2.936804458960625,0.9500941,0.71398145,1.0552738,0.725622,1.2034237,15,1.3156178,0.59656334,20.221819
3950102695104628096,182.50968227048511,18.556860329356258,-1.7837635666467122,-1.3544676430658225,-1.3305857795537666,0.98572487,0.8002776,0.9618685,0.0,-0.8212098,15,1.0958607,0.623085,20.428272
3950102695104652544,182.50051882070397,18.55201623703493,0.18579988195848782,-1.1174843505312495,-2.9897334232982264,0.8208135,0.74143946,1.0762757,1.2874776,1.6877285,15,1.081941,0.6561527,20.129862
3950102695104733696,182.5079275497993,18.5566422482997,0.33461156110346046,-3.6685668905294584,-0.6864053248274226,1.0399644,0.93346846,0.98609364,0.0,-0.25388673,13,1.4125676,0.65441895,20.409044
3950102695104869376,182.5145616727689,18.554966033766654,1.6935676465960907,-3.563331426403185,-4.635968656403085,1.9291724,1.9805857,0.93661034,0.0,-0.9278469,11,1.1464934,0.41486168,20.735586
3950102695104871552,182.50808421550312,18.55716764915075,-0.0875528832002051,-6.207040975932159,1.5276132076000823,2.049086,1.3774946,1.0209149,0.0,0.38305217,11,,,20.75187
3950102695104871936,182.50862041014284,18.554458095860117,1.2716013157761537,-2.1432381712947843,-4.121860819321447,1.5435892,1.309271,1.030087,0.0,0.54572016,11,2.5485282,2.1953316,20.65388
3950102695104898176,182.50966744043637,18.55618819804774,0.3050539225719076,0.20554120256319378,-1.0614062726961468,1.6120892,0.8560811,1.0522233,1.5538592,1.1486381,15,1.3767828,0.09113312,20.43412
3950102695104898304,182.50935864451264,18.54872969869944,-0.12853937814244878,-0.6153495330259936,-4.273932789308965,1.7910881,1.1791108,1.0363188,0.0,0.71104914,13,,,20.613546
3950102695105185792,182.50520705778297,18.549760405985797,5.327914318091252,-3.0922688417989455,-4.854446267332246,1.6361058,1.1558939,1.0998893,0.62576085,1.7520869,11,1.1187493,0.66973305,20.69659
3950102695105613056,182.5123010948984,18.554096816505115,0.01392129080456676,-1.63954163541765,-2.2718792938557995,0.087756224,0.08107606,1.0955393,0.25888428,2.3087933,16,1.2325836,1.0101624,17.177559
3950102695105614720,182.51112382177502,18.55637818688089,-0.15534518853182291,-1.8540130814994635,-1.7942577234635986,0.088189654,0.0810247,0.96078503,0.0,-0.92639,16,1.2247907,0.124671936,17.150377
3950102695105643392,182.5036848890841,18.553944233978335,0.08633549580977318,-1.6275430351021383,-2.0654403032012913,0.05562297,0.05399322,0.9766346,0.0,-0.5602568,17,1.2220206,1.0758257,16.457108
3950102695105693824,182.51176074121602,18.556883642021866,-0.7820563254129015,-2.4197278605127273,-3.356121643637996,1.324804,1.2142284,0.9617069,0.0,-0.67231995,11,0.44173425,-0.29061317,20.616884
3950102725169433984,182.5473523530228,18.525801271168543,0.5552323268861371,-1.1931375296673068,-2.247345500815752,0.51707643,0.3719739,0.9840968,2.4598553e-15,-0.33962908,16,1.1968786,0.8111305,19.507048
