# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Apr  8 13:55:52 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.062, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00024632 -1.80000 10.00000 0.7993321419 2.4184906473    0.798  0.319  3.8204  4.255    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.17e-13      0.00 8.554e-01 1.444e-01 3.086e-05 8.504e-06 7.781e-05 -1.000 1.454e-04 3.973 4.010 4.225 3.638
0.00024632 -1.80000 10.00000 0.8000000119 2.4187244405    0.799  0.324  3.8207  4.252    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1  -2.2e-13      0.00 8.555e-01 1.444e-01 3.087e-05 8.505e-06 7.782e-05 -1.000 1.455e-04 3.961 3.998 4.212 3.626
0.00024632 -1.80000 10.00000 0.8003923297 2.4188615652    0.799  0.327  3.8208  4.249    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.22e-13      0.00 8.554e-01 1.444e-01 3.087e-05 8.506e-06 7.784e-05 -1.000 1.463e-04 3.953 3.990 4.205 3.619
0.00024632 -1.80000 10.00000 0.8070980310 2.4211816893    0.806  0.380  3.8231  4.209    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.62e-13      0.00 8.549e-01 1.449e-01 3.102e-05 8.547e-06 7.822e-05 -1.000 1.730e-04 3.820 3.856 4.066 3.490
0.00024632 -1.80000 10.00000 0.8145284057 2.4237013037    0.813  0.444  3.8248  4.155    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -3.21e-13      0.00 8.526e-01 1.472e-01 3.143e-05 8.659e-06 7.923e-05 -1.000 1.911e-04 3.660 3.694 3.902 3.333
0.00024632 -1.80000 10.00000 0.8156201243 2.4240670561    0.814  0.454  3.8249  4.146    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -3.33e-13      0.00 8.523e-01 1.475e-01 3.149e-05 8.677e-06 7.939e-05 -1.000 1.928e-04 3.635 3.669 3.876 3.308
0.00024632 -1.80000 10.00000 0.8173866868 2.4246565183    0.816  0.472  3.8247  4.129    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -3.54e-13      0.00 8.517e-01 1.481e-01 3.160e-05 8.705e-06 7.965e-05 -1.000 1.955e-04 3.591 3.624 3.831 3.262
0.00024632 -1.80000 10.00000 0.8223969936 2.4263125135    0.821  0.525  3.8233  4.073    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -4.23e-13      0.00 8.501e-01 1.497e-01 3.189e-05 8.786e-06 8.038e-05 -1.000 2.034e-04 3.458 3.489 3.698 3.126
0.00024632 -1.80000 10.00000 0.8265642524 2.4276722935    0.825  0.575  3.8200  4.011    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -5.09e-13      0.00 8.488e-01 1.510e-01 3.214e-05 8.853e-06 8.098e-05 -1.000 2.099e-04 3.332 3.361 3.574 2.992
0.00024632 -1.80000 10.00000 0.8272682428 2.4279004512    0.826  0.585  3.8192  3.999    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -5.29e-13      0.00 8.486e-01 1.512e-01 3.218e-05 8.864e-06 8.108e-05 -1.000 2.108e-04 3.308 3.337 3.552 2.966
